Candidate_Name,Candidate_Party,State,District,Is_Incumbent?,Is_Winner,Percent_of_Vote_(%),Money_Raised_($),Money_Spent_($)
Jerry Carl,Republican,Alabama,1,No,Yes,64.9,1971321,1859349
James Averhart,Democrat,Alabama,1,No,No,35.0,80095,78973
Barry Moore,Republican,Alabama,2,No,Yes,65.3,650807,669368
Phyllis Harvey-Hall,Democrat,Alabama,2,No,No,34.6,56050,55988
Mike D Rogers,Republican,Alabama,3,Yes,Yes,67.5,1193111,1218564
Adia Winfrey,Democrat,Alabama,3,No,No,32.4,50273,40971
Robert B Aderholt,Republican,Alabama,4,Yes,Yes,82.5,1255076,1323812
Mo Brooks,Republican,Alabama,5,Yes,Yes,95.8,655365,210045
Gary Palmer,Republican,Alabama,6,Yes,Yes,97.1,907219,909082
Terri Sewell,Democrat,Alabama,7,Yes,Yes,97.2,2168165,1495957
Don Young,Republican,Alaska,1,Yes,Yes,54.4,1922901,1790448
Alyse Galvin,Independent,Alaska,1,No,No,45.3,5178452,5088103
Tom O'Halleran,Democrat,Arizona,1,Yes,Yes,51.6,3381353,3324138
Tiffany Shedd,Republican,Arizona,1,No,No,48.4,1675618,1615704
Ann Kirkpatrick,Democrat,Arizona,2,Yes,Yes,55.1,1849862,1384765
Brandon Martin,Republican,Arizona,2,No,No,44.9,374821,381067
Raul M Grijalva,Democrat,Arizona,3,Yes,Yes,64.6,843560,655507
Daniel Wood,Republican,Arizona,3,No,No,35.4,41422,41962
Paul Gosar,Republican,Arizona,4,Yes,Yes,69.8,622151,729892
Delina DiSanto,Democrat,Arizona,4,No,No,30.2,77168,79758
Andy Biggs,Republican,Arizona,5,Yes,Yes,58.9,1602181,1236380
Joan Greene,Democrat,Arizona,5,No,No,41.1,356069,209789
David Schweikert,Republican,Arizona,6,Yes,Yes,52.2,2265329,2249979
Hiral Tipirneni,Democrat,Arizona,6,No,No,47.8,6301073,6366702
Tom Lewellen,Independent,Arizona,6,No,No,,11685,11000
Ruben Gallego,Democrat,Arizona,7,Yes,Yes,76.7,1811754,1653961
Josh Barnett,Republican,Arizona,7,No,No,23.3,28093,17883
Debbie Lesko,Republican,Arizona,8,Yes,Yes,59.6,1605245,987453
Michael Muscato,Democrat,Arizona,8,No,No,40.4,357906,347734
Greg Stanton,Democrat,Arizona,9,Yes,Yes,61.6,2001619,1001350
Dave Giles,Republican,Arizona,9,No,No,38.4,130480,129935
Rick Crawford,Republican,Arkansas,1,Yes,Yes,100.0,966801,1095518
French Hill,Republican,Arkansas,2,Yes,Yes,55.4,3384490,3020491
Joyce Elliott,Democrat,Arkansas,2,No,No,44.6,3482463,3478733
Steve Womack,Republican,Arkansas,3,Yes,Yes,64.3,1127158,923120
Celeste Williams,Democrat,Arkansas,3,No,No,31.8,355294,355294
Bruce Westerman,Republican,Arkansas,4,Yes,Yes,69.7,1407770,1102573
William Hanson,Democrat,Arkansas,4,No,No,27.5,109767,111683
Doug LaMalfa,Republican,California,1,Yes,Yes,56.9,1219556,1155945
Audrey Denney,Democrat,California,1,No,No,43.1,2461769,2457661
Jared Huffman,Democrat,California,2,Yes,Yes,75.7,899419,797753
Dale Mensing,Republican,California,2,No,No,24.3,5921,2197
John Garamendi,Democrat,California,3,Yes,Yes,54.7,1054066,667320
Tamika Hamilton,Republican,California,3,No,No,45.3,397099,384584
Tom McClintock,Republican,California,4,Yes,Yes,55.9,2053363,2107248
Brynne Kennedy,Democrat,California,4,No,No,44.1,3006020,3002532
Mike Thompson,Democrat,California,5,Yes,Yes,76.8,2208136,2022751
Doris Matsui,Democrat,California,6,Yes,Yes,73.4,1019605,1073529
Chris Bish,Republican,California,6,No,No,26.6,44772,44554
Ami Bera,Democrat,California,7,Yes,Yes,56.6,1757748,1053444
Buzz Patterson,Republican,California,7,No,No,43.4,43876,29614
Jay Obernolte,Republican,California,8,No,Yes,56.1,1861647,1792064
Chris Bubser,Democrat,California,8,No,No,43.9,1858001,1856613
Jerry McNerney,Democrat,California,9,Yes,Yes,57.6,1177959,1112543
Tony Amador,Republican,California,9,No,No,42.4,52175,52175
